Feature,Importance
orb_features,0.7292749825873514
dx,0.10968043948825645
blur,0.026260889703724328
dz,0.025835978187103963
dy,0.013679650046881871
class_87_percent,0.0060999636204656
class_229_percent,0.005857504047406088
class_125_percent,0.0051712405338811395
class_115_percent,0.004643064701644217
class_28_percent,0.00460722253017954
contrast,0.004542910334240507
mean_depth,0.004219317119465524
brightness,0.00419054294870826
class_180_percent,0.00395434008228012
class_143_percent,0.0038262079499065925
valid_depth_ratio,0.0036813853372529523
edge_density,0.0029850144480739675
std_depth,0.0029099175020732638
depth_entropy,0.002755823815327842
class_70_percent,0.002556597533342553
class_195_percent,0.0021700985811766095
class_49_percent,0.00203260346546116
class_161_percent,0.0019899412867307896
class_27_percent,0.0018493252476289301
class_23_percent,0.0017238973324818969
class_205_percent,0.00171810774640445
class_157_percent,0.0016397455754649033
class_123_percent,0.0015050621482065268
class_132_percent,0.001370875845294234
class_116_percent,0.0013704423682978789
class_175_percent,0.0012884871514600514
class_191_percent,0.001266692494470892
class_48_percent,0.0010759845119059654
class_8_percent,0.0010498145028178182
class_239_percent,0.0009729583983112692
class_199_percent,0.0009695527320935599
class_171_percent,0.0008403255953823189
class_214_percent,0.0006782098511438415
class_6_percent,0.0006554690206720627
class_129_percent,0.000619302854969354
class_69_percent,0.0005530506731334239
class_64_percent,0.0005233669443600727
class_74_percent,0.00047189472565947965
class_119_percent,0.00044699924625824866
class_106_percent,0.0004329971614558529
class_72_percent,0.0004268849545425335
class_244_percent,0.00035361910138962673
class_9_percent,0.0003476543920673784
class_208_percent,0.00034504221441025235
class_1_percent,0.0003105085001528527
class_60_percent,0.000289422340068584
class_31_percent,0.00027052001277270846
class_90_percent,0.0002511826803438818
class_36_percent,0.00023887848720975522
class_59_percent,0.00023368640988614487
class_242_percent,0.00017653759477346157
class_146_percent,0.00017438131489657272
class_200_percent,0.00016377782981530508
class_7_percent,0.00013436729385139426
class_65_percent,0.0001297786119233221
class_160_percent,8.611160745915243e-05
class_109_percent,6.398348408126707e-05
max_depth,3.6705764493604674e-05
min_depth,1.2592092622832595e-05
depth_range,6.167334431831218e-06
