Sequence,Frames,MAE,RMSE,R2
P000,115,0.10687079083020246,0.1466347910983168,0.8168608184382845
P001,119,0.10003123066543199,0.12302763220693776,0.8772009899857097
P002,133,0.07524708728718131,0.10573467090124315,0.8954218545700176
P003,151,0.12658668483438879,0.1640609857396784,0.6598839746191054
P004,134,0.08337496132341392,0.10935744958045403,0.8780106289454682
P005,117,0.0714738715427856,0.10520175894317613,0.8791716001322388
P006,90,0.1462340261927222,0.18643223123442307,0.5336021949686053
